6,0.48712,-4.9515,2.609e-05,3.916e-05
7,3.129,-5.5574,2.064e-05,2.778e-05
8,2.6535,-3.7511,2.821e-05,2.88e-05
9,0.97279,-3.1917,3.446e-05,2.115e-05
10,0.84548,-1.6164,4.06e-05,2.192e-05
11,3.7665,-1.9774,3.487e-05,2.543e-05
12,1.9192,-0.82041,4.282e-05,3.737e-05
13,0.9181,0.59595,7.188e-05,9.708e-05
14,2.7632,0.24405,4.64e-05,2.925e-05
15,4.6727,0.84377,4.99e-05,5.076e-05
16,0.95298,2.7107,7.4e-05,4.693e-05
17,3.2683,2.5307,3.189e-05,4.442e-05
18,0.88918,4.4093,3.238e-05,4.366e-05
19,2.3925,3.801,3.896e-05,8.756e-05
20,4.1361,3.6073,3.976e-05,5.202e-05
